ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effectx,fairx,confx,antisocx
136860130,Female,21,1,White,ALevel,5,3,0,0.4764424111947792,0.3623210129898906,1.7807291959570102,0.95
136860170,Male,80,7,White,ALevel,2,4,0,1.0554205073861498,0.5447858333935546,,0.75
136860210,Male,52,4,White,University,4,4,0,1.6443809845463369,1.5483423456137058,1.7807291959570102,0.24
136860250,Male,33,2,White,University,1,2,0,-0.691496162,-1.310273174,-1.254929897,1.22
136860290,Female,45,4,White,GCSE,5,2,1,0.4764424111947792,,0.3593503564624661,
136861050,Female,55,5,White,University,1,2,1,-0.402007114,,,0.35
136861090,Female,65,6,Mixed,University,1,3,0,-0.122500447,,0.1156854125491157,-0.49
136861130,Female,22,1,Mixed,GCSE,5,2,1,1.3449095554818349,0.7272506537972183,0.3593503564624661,-0.76
136861170,Male,70,6,White,,5,2,0,-2.168888546,,-1.488442135,-0.06
136861210,Female,36,3,Black or Black British,,6,1,0,,,,-0.97
136862050,Male,61,5,White,,5,3,0,-0.411989495,,-1.508747547,-1.36
136862090,Female,48,4,White,University,1,5,0,1.0554205073861498,0.8793046708002716,0.8162221262999981,0.26
136862130,Male,92,7,White,,2,2,0,1.08536765,0.8488938673996609,1.5776750760292182,1
136862170,Male,49,4,White,University,1,2,0,0.4564776492571459,0.3623210129898906,1.7807291959570102,-0.22
136862210,Female,24,1,White,University,7,2,0,-0.98098521,,-0.544240477,-1.18
136862250,Female,81,7,White,ALevel,5,3,0,,,0.1461435305382845,0.27
136862290,Female,78,7,White,Other,2,5,0,-0.102535685,-0.408086006,-0.300575533,1.22
136862330,Male,57,5,White,University,1,5,0,0.1869533630990941,-0.479044548,0.1156854125491157,0.95
136863010,Female,33,2,White,ALevel,1,3,0,-0.112518066,0.6968398503966078,0.1156854125491157,1
136863130,Female,78,7,White,,1,2,0,-0.471883781,,-0.067063295,0.78
136863170,Female,22,1,White,University,2,3,1,-0.102535685,,0.8771383622783356,0.21
136863250,Female,80,7,White,University,2,5,0,,,-0.148284943,0.75
136863290,Female,55,5,White,GCSE,3,3,0,-0.36207759,0.3623210129898906,-0.493476947,-0.02
136864010,Female,36,3,White,University,5,3,0,2.5128481288333924,,0.613168006,1.22
136864130,Male,68,6,White,GCSE,2,2,0,0.1769709821302773,0.4231426197911119,-0.798058127,-0.73
136864210,Male,62,5,White,University,4,1,0,0.7759138402592812,-0.033019431,0.9279018922602836,-0.73
136864290,Female,63,5,White,University,5,2,0,0.745966697,0.2102669959868374,-0.036605177,1
136865050,Female,72,6,Asian or Asian British,Other,1,5,0,,,1.5269115460472702,0.75
136865090,Female,54,4,White,University,1,4,0,0.1869533630990941,,0.613168006,1.22
136865130,Male,61,5,White,ALevel,3,4,0,,,-0.351339063,1.22
136865170,Male,25,2,White,University,1,3,0,3.101808606,2.9472393020417953,1.2933993081303092,1.22
136865210,Female,32,2,White,University,1,3,0,0.1969357440679108,-0.458770679,,0.97
136865250,Female,32,2,White,University,5,4,0,-0.092553304,-0.154662645,-0.554393183,0.47
136865290,Male,39,3,White,University,3,4,0,-0.691496162,0.1494453891856161,-0.544240477,0.22
136866010,Male,56,5,White,,5,4,0,0.745966697,,0.2070597665166221,-1.02
136866050,Female,45,4,White,GCSE,1,4,0,1.3349271745130182,1.3861513941437824,-1.051875777,0.78
136866090,Female,52,4,White,GCSE,2,4,0,0.4764424111947792,-0.691920172,1.3644682501050367,-0.53
136866170,Male,68,6,White,,5,5,0,,0.3319102095892799,-0.595004007,-0.01
136866250,Male,53,4,White,University,1,5,0,-0.421971876,-1.016302075,-0.341186357,-1.49
